id,internal_station_id,collected_at,temperature_C,salinity,dissolved_oxygen_mg/L,chlorophyll_ug/L,pheophytin_ug/L,turbidty_NTU,nitrate_nitrite_uM,ammonium_uM,ortho_phosphate_uM,silicate_uM,particulate_organic_nitrogen_uM,particulate_organic_carbon_uM,total_dissolved_nitrogen_uM,total_dissolved_phosphorus_uM,total_nitrogen_uM,total_phosphorus_uM,total_nitrogen_TDN_PON
27,1,2009-08-16T14:11:00.000Z,21.7,30.7,9.28,0.33,0.27,0.19,0.01,0.01,0.04,,,,,,4.21,0.51,
28,1,2009-09-14T14:03:00.000Z,17.5,31,9.23,0.47,0.48,0.08,0.01,3.08,0.16,,,,,,4.25,0.49,
29,1,2009-10-02T10:30:00.000Z,17,31,8.4,1.96,1.39,0.58,0.01,1.02,0.11,,,,,,,0.77,
30,1,2009-11-10T15:00:00.000Z,11.3,31.4,12.87,1.98,1.67,0.53,0.09,0.29,0.28,,,,,,,0.9,
31,1,2010-01-14T10:40:00.000Z,2.1,31.8,13.41,0.93,0.94,0.21,1.59,6.61,0.48,,,,,,6.05,0.68,
32,1,2010-02-22T12:40:00.000Z,1.4,32.1,12.98,1.46,1.28,0.22,0.11,1.39,0.06,,,,,,,0.34,
33,1,2010-03-17T10:15:00.000Z,4.1,32.1,11.95,0.97,1,0.17,2.05,1.09,0.48,,,,,,8.83,0.55,
34,1,2010-04-14T17:30:00.000Z,10.7,30.4,10.48,0.59,0.55,0.3,0.01,0.89,0.24,,,,,,,0.09,
35,1,2010-05-16T12:34:00.000Z,13.1,30.8,10.16,0.68,0.56,0.18,0.01,0.01,0.05,,,,,,3.44,0.4,
36,1,2010-06-11T18:46:00.000Z,17.8,30.9,8.72,0.89,0.64,0.13,3.11,0.01,0.03,,,,,,4.16,0.31,
37,1,2010-07-05T13:23:00.000Z,23.5,31.3,7.78,0.65,0.46,0.25,0.01,1.41,0.05,,,,,,11.33,0.01,
38,1,2010-08-06T15:00:00.000Z,24.3,31.9,7.48,1.23,0.69,0.3,0.01,0.3,0.09,,,,,,8.97,0.53,
39,1,2010-09-06T15:15:00.000Z,21.6,31.3,7.91,1.66,0.57,0.39,0.01,0.01,0.01,,,,,,22.06,0.79,
40,1,2010-10-19T12:56:00.000Z,14.2,32.4,8.61,0.72,0.35,0.2,0.14,1.7,0.43,,,,,,,0.9,
41,1,2010-11-16T14:57:00.000Z,10.8,32.5,10.54,4.53,1.17,0.2,0.57,0.92,0.38,,,,,,8.35,1.03,
42,1,2010-12-10T11:20:00.000Z,6.2,32.4,10.38,2.53,0.59,0.16,0.01,0.46,0.3,,,,,,8.17,0.89,
43,1,2011-01-06T10:26:00.000Z,3,32,10.15,3.24,0.78,0.53,0.92,0.73,0.37,0.46,,,,,22.54,0.81,
44,1,2011-02-07T10:25:00.000Z,0.1,31.3,11.58,3.28,1.02,0.4,0.17,0.01,0.08,0.06,,,,,3.77,0.48,
45,1,2011-03-23T12:46:00.000Z,4.3,31.9,11.47,2.08,0.95,0.2,0.01,0.16,0.17,0.14,,,,,17.34,0.43,
46,1,2011-04-07T15:48:00.000Z,6.5,31.4,9.63,0.51,0.21,0.28,0.12,0.41,0.2,0.56,,,,,,0.41,
47,1,2011-05-14T18:09:00.000Z,10.2,30.6,9.53,1.25,0.69,0.35,0.01,0.01,0.16,3.18,,,,,17.12,0.46,
48,1,2011-06-16T16:55:00.000Z,15,30.3,8.71,0.99,0.23,0.13,0.19,0.01,0.09,0.3,,,,,6.45,0.32,
49,1,2011-07-20T07:55:00.000Z,22,30.1,7.12,0.78,0.48,0.31,0.13,0.27,0.08,0.75,,,,,,,
50,1,2011-08-31T11:30:00.000Z,17.9,31.2,8.44,1.82,0.5,0.3,0.06,0.5,0.1,1.14,,,,,3.06,0.87,
51,1,2011-09-12T15:33:00.000Z,18.4,31.2,8.88,0.69,0.25,0.16,0.01,0.48,0.08,0.22,,,,,6.19,0.33,
52,1,2011-10-23T10:21:00.000Z,15.5,30.9,8.41,2.69,1.1,0.23,0.01,0.53,0.1,0.19,,,,,4.55,0.48,
53,1,2011-11-26T10:46:00.000Z,10.3,31.4,9.09,3.91,0.66,0.02,0.47,0.81,0.31,0.12,,,,,3.01,0.86,
54,1,2011-12-30T09:03:00.000Z,5.2,30.9,10.01,2.61,0.75,0.29,0.01,0.58,0.09,0.16,,,,,6.46,0.71,
55,1,2012-01-21T09:18:00.000Z,3.9,31.4,10.19,1.35,0.39,0.35,0.1,1.43,0.45,1.2,,,,,,0.92,
56,1,2012-02-05T10:19:00.000Z,4.5,31.6,10.24,2.98,0.5,0.12,1.09,2.59,0.47,1.78,,,,,9.58,0.41,
57,1,2012-03-16T09:55:00.000Z,5.2,31.6,10.4,1.29,0.27,0.34,0.06,1.45,0.29,0.29,,,,,14.01,0.57,
58,1,2012-04-13T10:20:00.000Z,8.3,31.9,9.56,0.85,0.26,0.23,0.01,0.2,0.11,0.25,,,,,10.75,0.31,
59,1,2012-05-14T10:07:00.000Z,13.6,31.8,8.42,0.32,0.1,0.09,0.11,0.52,0.2,0.18,,,,,10.03,0.59,
60,1,2012-06-26T11:45:00.000Z,19.7,31.1,7.86,1.12,0.31,0.21,0.01,0.01,0.06,0.76,,,,,11.32,1.32,
61,1,2012-07-26T07:37:00.000Z,17.4,31.5,7.89,0.9,0.21,0.1,0.06,0.19,0.14,2.21,,,,,8.15,0.52,
62,1,2012-08-21T08:15:00.000Z,22,31.2,5.75,0.6,0.33,0.24,0.01,0.31,0.14,0.16,,,,,10.81,0.63,
63,1,2012-09-06T09:36:00.000Z,20.8,31.5,7.04,0.96,0.37,0.19,0.11,0.3,0.19,1.77,,,,,10.4,0.5,
64,1,2012-10-24T11:55:00.000Z,14.1,31.8,8.35,2.02,0.72,0.19,0.01,0.58,0.49,0.28,,,,,10.07,0.74,
65,1,2012-11-11T10:18:00.000Z,11,32.2,8.52,4.08,0.79,0.42,2.25,1.13,0.59,2.84,,,,,13.05,0.68,
66,1,2012-12-29T10:37:00.000Z,7,32.4,,5.63,1.05,0.26,,,,,,,,,8.98,0.59,
67,1,2013-01-11T10:20:00.000Z,2.8,31.6,10.5,2.57,0.38,0.2,0.44,0.39,0.22,0.67,,,,,5.66,0.19,
68,1,2013-02-15T09:18:00.000Z,2.4,32.4,10.54,1.71,0.36,0.19,1.94,0.35,0.44,0.68,,,,,8.07,0.61,
69,1,2013-02-26T00:00:00.000Z,,,,0.99,0.29,0.22,3.22,0.68,0.5,1.72,,,,,10.99,0.68,
70,1,2013-03-18T10:30:00.000Z,3.8,32.4,10.38,4.04,0.83,0.3,1.81,0.23,0.24,1.54,,,,,13.03,1.17,
71,1,2013-04-10T10:30:00.000Z,7.3,32,9.61,1.35,0.43,0.12,0.16,0.25,0.03,0.25,,,,,9.7,0.36,
72,1,2013-05-17T12:33:00.000Z,14.2,32,7.93,0.55,0.25,0.24,0.07,0.59,0.05,0.17,,,,,18.57,0.38,
73,1,2013-06-20T11:05:00.000Z,17,31.1,7.91,0.33,0.13,0,0.01,0.18,0.1,3.51,,,,,6.13,0.21,
74,1,2013-07-22T15:40:00.000Z,25,30.6,6.86,0.69,0.27,0.17,0.01,0.24,0.05,0.29,,,,,8.15,0.25,
75,1,2013-08-20T15:02:00.000Z,22.8,30.8,7.28,0.87,0.21,0.18,0.11,0.12,0.03,0.37,,,,,15.28,0.35,
76,1,2013-09-06T13:37:00.000Z,20.7,31,7.47,1.15,0.38,0.38,0.19,0.01,0.04,0.68,,,,,15.27,0.46,
77,1,2013-10-23T10:33:00.000Z,15.2,31.8,7.24,3.07,0.77,0.13,0.18,0.29,0.25,0.25,,,,,9.11,0.4,
78,1,2013-11-05T10:45:00.000Z,12.3,29.9,7.05,4.98,0.82,0.11,0.13,0.01,0.24,0.55,,,,,17.81,0.39,
79,1,2013-12-20T14:52:00.000Z,4.2,32,,3.44,0.65,0.1,0.33,3.54,0.29,0.01,,,,,8.64,0.38,
80,1,2014-01-16T14:50:00.000Z,2.4,31.3,11.39,3.65,0.78,0.24,0.18,0.11,0.16,0.56,,,,,10.54,0.41,
81,1,2014-02-04T10:50:00.000Z,0.4,31.9,11.83,2.77,0.93,0.11,0.21,0.16,0.18,0.1,,,,,8.46,0.26,
82,1,2014-03-18T10:25:00.000Z,1.5,32.2,11.65,2.7,1.15,0.18,0.12,0.21,0.28,1.87,,,,,11.51,0.56,
83,1,2014-04-07T08:53:00.000Z,4.3,32.1,11.74,1.19,0.59,0.33,0.01,0.15,0.11,1.48,,,,,12.49,0.42,
84,1,2014-05-09T09:31:00.000Z,10,31.8,9.06,0.57,0.18,0.13,0.01,0.01,0.06,2.01,,,,,9.39,0.32,
85,1,2014-06-14T10:07:00.000Z,16.8,30.9,7.01,1.11,0.55,0.34,0.29,0.22,0.01,0.67,,,,,8.56,0.29,
86,1,2014-07-22T08:10:00.000Z,18.5,30.9,7.16,1.2,0.59,0.06,0.23,0.47,0.01,1.78,,,,,10.15,0.29,
87,1,2014-08-19T11:37:00.000Z,19.4,31.4,5.9,0.6,0.32,0.09,0.01,0.01,0.15,0.22,,,,,4.37,0.22,
88,1,2014-09-02T09:50:00.000Z,21.5,31.5,5.35,1.26,0.53,0.25,0.01,0.21,0.17,0.25,,,,,9.41,0.45,
89,1,2014-10-31T10:12:00.000Z,13.6,31.6,,2.06,0.75,0.1,0.01,0.14,0.16,0.25,,,,,12.4,0.56,
90,1,2014-12-15T11:00:00.000Z,7.8,32.1,9.13,3.1,0.68,0.2,2.75,0.3,0.46,1.52,,,,,12.38,0.71,
91,1,2015-01-21T16:12:00.000Z,1.2,31.5,11.11,3.19,0.65,0.31,0.01,0.01,0.13,0.01,,,,,10.02,0.44,
92,1,2015-02-08T14:10:00.000Z,0.6,32.1,11.5,5.63,1.17,0.45,1.99,0.26,0.33,1.18,,,,,11.11,0.77,
93,1,2015-03-20T10:39:00.000Z,0.4,32.6,11.98,8.64,1.44,0.61,0.01,0.13,0.01,0.01,,,,,8.72,0.45,
94,1,2015-04-16T09:39:00.000Z,6.4,32.4,10.36,0.27,0.13,0.17,0.01,0.2,0.01,0.11,,,,,7.57,0.32,
95,1,2015-05-02T08:10:00.000Z,7.7,32.5,9.42,0.91,0.36,0.29,0.01,0.21,0.07,1.64,,,,,9.72,0.47,
96,1,2015-06-12T09:27:00.000Z,15.3,31.5,7.35,0.62,0.28,0.17,0.07,0.24,0.01,0.66,,,,,13.16,0.47,
97,1,2015-07-19T17:30:00.000Z,20.7,31.3,6.94,0.77,0.31,0.32,0.08,0.01,0.14,1.17,,,,,15.52,0.31,
98,1,2015-08-18T07:43:00.000Z,22.8,31.3,5.55,0.52,0.27,0.07,0.01,0.01,0.11,0.36,,,,,7.97,0.36,
99,1,2015-09-16T10:54:00.000Z,19.8,31.5,6.57,1.61,0.47,0.16,0.01,0.16,0.3,0.16,,,,,13,0.69,
100,1,2015-10-21T10:42:00.000Z,14.2,31.7,5.72,4.72,1.22,0.42,0.01,0.01,0.16,1.76,,,,,10.34,0.41,
101,1,2015-11-02T11:13:00.000Z,13.2,31.6,5.7,2.54,0.35,0.41,0.13,0.38,0.33,1.71,,,,,15.46,0.81,
102,1,2015-12-12T11:36:00.000Z,8.9,32,9.49,5.58,1.91,0.23,0.05,0.01,0.15,0.25,,,,,13.39,0.79,
103,1,2016-01-15T15:11:00.000Z,3.9,31.6,10.17,2.69,0.25,0.09,0.01,0.01,0.17,0.33,,,,,9.03,0.59,
104,1,2016-02-23T09:46:00.000Z,2.3,31.6,10.82,3.64,0.85,0.23,0.32,0.39,0.32,0.24,,,,,9.73,0.48,
105,1,2016-03-06T12:00:00.000Z,3.9,32.2,10.54,4.8,0.58,0.19,0.36,0.26,0.38,0.28,,,,,9.62,0.69,
106,1,2016-04-18T10:06:00.000Z,7.3,31.7,10.03,2.64,0.59,0.22,1.64,0.01,0.16,1.46,,,,,13.24,0.44,
107,1,2016-05-19T15:14:00.000Z,13.8,31.4,8.3,0.85,0.31,0.08,0.01,0.01,0.17,0.1,,,,,11.41,0.62,
108,1,2016-06-22T13:16:00.000Z,19.4,31.4,7.55,1.22,0.37,0.12,0.01,0.01,0.22,1.07,,,,,10.34,0.63,
109,1,2016-07-26T07:45:00.000Z,22.2,31.7,6.9,0.89,0.38,0.22,0.12,0.23,0.21,1.4,,,,,10.99,0.57,
110,1,2016-08-23T11:40:00.000Z,19.6,31.9,7.15,1.13,0.29,0.22,0.07,0.62,0.2,1.29,,,,,7.6,0.41,
111,1,2016-09-26T15:24:00.000Z,16.5,32.2,7.62,2.36,1.21,0.13,0.01,0.13,0.29,0.75,,,,,7.74,0.38,
112,1,2016-10-27T10:58:00.000Z,14.4,32.1,7.3,2.72,1.32,0.61,0.33,1.32,0.74,4.52,,,,,7.71,0.69,
113,1,2016-11-08T09:50:00.000Z,12.9,32.1,7.8,3.43,1.55,0.33,0.67,1.55,0.78,4.83,,,,,14.9,1.02,
114,1,2016-12-07T10:26:00.000Z,9.3,32.3,8.79,8.39,1.92,0.32,0.42,0.3,0.65,0.17,,,,,8.07,0.67,
115,1,2017-01-20T09:45:00.000Z,3.5,32.1,,1.44,0.38,0.23,0.22,1.09,0.58,0.1,,,,,10.19,,
116,1,2017-02-19T14:25:00.000Z,3.2,32.2,,4.89,1.12,0.34,0.19,0.14,0.42,0.92,,,,,9.55,,
117,1,2017-03-21T11:41:00.000Z,4,32.7,10.4,1.56,0.29,0.13,2.26,0.59,0.36,0.58,,,,,12.89,,
118,1,2017-04-14T17:55:00.000Z,8.4,32,10.82,2.28,0.44,0.3,0.22,0.01,0.19,0.33,,,,,6.62,,
119,1,2017-05-10T09:31:00.000Z,10.8,30.9,9.42,1.68,0.44,0.25,0.64,0.33,0.23,1.5,0.01,33.72,19.85,0.34,,,19.85
120,1,2017-06-15T08:49:00.000Z,16.9,30.1,8.64,0.43,0.17,0.14,0.01,0.4,0.01,0.85,4.36,25.37,12.1,0.26,,,16.47
121,1,2017-07-26T17:49:00.000Z,16.8,31.2,8.64,0.78,0.23,0.3,0.01,0.01,0.14,0.7,5.97,47.68,9.64,0.59,,,15.6
122,1,2017-08-23T16:02:00.000Z,22.8,30.5,7.52,1.32,0.4,0.19,0.01,0.3,0.22,0.36,10.23,44.28,11.84,0.56,,,22.07
123,1,2017-09-25T07:12:00.000Z,16.9,31.3,8.2,3.59,0.18,0.14,0.01,1.13,0.15,1.98,12.93,39.46,11.38,0.32,,,24.31
124,1,2017-10-14T11:54:00.000Z,15.9,31.6,8.19,2.55,0.54,0.18,0.01,0.01,0.17,0.62,4.83,45,9.61,0.48,,,14.45
125,1,2017-11-01T11:26:00.000Z,14.4,30.8,7.97,4.3,1.58,0.67,0.01,0.01,0.28,0.29,4.39,59.79,12.52,0.47,,,16.91
126,1,2017-12-03T10:54:00.000Z,8.7,31.3,,3.89,0.83,0.26,0.59,0.16,0.45,0.55,6.01,30.26,10.51,0.5,,,16.52
127,1,2018-01-16T08:59:00.000Z,1.9,32,10.8397,1.95,0.61,0.49,3.25,1.01,0.44,1.34,2.96,35.16,22.383,0.69,,,25.34
128,1,2018-02-24T17:17:00.000Z,3.8,31.4,11.2098,1.3,0.47,0.35,0.11,0.01,0.04,0.26,2.38,38.15,14.096,0.63,7.95,0.425,16.48
129,1,2018-03-29T09:07:00.000Z,3.9,32,10.3983,0.72,0.6,0.3,5.85,1.18,0.56,4.83,1.84,28.83,22.355,0.84,17.042,0.287,24.2
130,1,2018-04-27T08:30:00.000Z,9.5,31.2,10.1301,0.94,0.34,0.24,0.17,0.41,0.11,3.89,3.74,34.91,10.597,0.25,7.46,0.162,14.34
131,1,2018-05-08T09:22:00.000Z,11.3,31.4,9.2054,0.55,0.12,0.07,0.13,1.37,0.01,2.57,2.74,21.9,13.302,0.23,19.4,0.499,16.04
132,1,2018-06-20T07:34:00.000Z,19.1,31.2,8.0125,1.27,0.35,0.44,0.01,0.01,0.01,0.01,3.99,46.67,9.79,0.42,12.6,0.57,13.78
133,1,2018-07-24T12:41:00.000Z,21.8,31.3,8.0587,2.87,0.87,0.39,0.13,0.29,0.01,0.06,4.03,46.41,11.106,0.19,9.31,0.517,15.13
134,1,2018-08-21T15:37:00.000Z,19.5,31.3,8.4258,2,0.43,0.36,0.01,0.01,0.14,0.7,2.52,37.59,9.942,0.23,7.59,0.42,12.46
135,1,2018-09-14T10:26:00.000Z,18.7,31.6,8.433,3.03,1.08,0.28,0.01,0.01,0.31,0.21,4.09,36.87,12.029,0.58,12.521,0.378,16.12
136,1,2018-10-23T06:45:00.000Z,,,,2.87,0.87,0.56,0.61,1.5,0.54,3.21,2.96,28.44,14.2,0.59,15.2,1.01,17.16
137,1,2018-11-01T12:12:00.000Z,12.7,31.6,8.5434,5.52,1.07,0.52,0.21,0.41,0.41,2.24,5.38,54.25,12.299,0.35,9.67,0.74,17.68
138,1,2018-11-18T12:18:00.000Z,9.8,30.9,5.6973,4.22,1.05,0.37,0.38,0.34,0.42,1.66,4.83,48.51,9.506,0.43,10,0.822,14.34
139,1,2018-12-01T09:00:00.000Z,7,31.5,9.4564,4.85,0.97,0.14,0.22,0.01,0.3,0.76,4.61,38.84,9.21,0.44,12.8,1.04,13.82
140,1,2019-01-18T09:04:00.000Z,4,31.9,10.444,2.89,0.35,0.11,4.07,0.85,0.59,0.86,1.95,22.15,16.6,0.48,6.59,0.5,18.55
141,1,2019-02-23T08:26:00.000Z,1.8,31.5,11.4705,3.03,0.2,0.15,0.13,0.97,0.01,0.87,3.01,36.89,10.5,0.49,6.81,0.252,13.51
142,1,2019-03-14T17:03:00.000Z,2,31.6,11.5775,3.24,0.14,0.18,0.3,0.35,0.13,1.88,3.45,35.37,8.89,0.41,6.09,0.404,12.34
143,1,2019-04-25T09:19:00.000Z,8.2,31.8,9.8014,1.2,0.17,0.06,0.2,0.81,0.18,0.45,2.18,21.84,22.4,0.23,6.53,0.379,24.58
144,1,2019-05-09T09:22:00.000Z,10.1,31.7,9.2749,0.99,0.4,0.13,0.22,0.18,0.13,0.73,2.79,24.91,11.863,0.43,16.1,0.451,14.65
145,1,2019-06-10T05:50:00.000Z,15.9,30,8.3059,0.69,0.14,0.05,0.01,0.01,0.01,0.01,2.13,17.35,9.11,0.24,8.74,0.25,11.24
146,1,2019-07-24T12:14:00.000Z,17.4,30.5,7.421,1.82,0.62,0.28,0.01,0.01,0.15,2.66,6.4,58.77,9.61,0.49,10.6,0.719,16.01
147,1,2019-09-03T11:46:00.000Z,20.7,31,5.1819,5.38,0.88,0.12,0.15,0.01,0.06,2.34,5.69,55.81,10,0.31,12.7,0.881,15.69
148,1,2019-10-14T11:20:00.000Z,14.3,31.5,,7.58,1.06,0.15,0.36,0.34,0.33,3.45,10.24,64.73,9.27,0.48,9.44,0.919,19.51
149,1,2019-11-02T11:25:00.000Z,14,31.1,8.4864,2.82,1.39,0.46,0.01,0.12,0.24,0.38,4.16,42.08,10.4,0.55,14.1,0.771,14.56
150,1,2019-12-26T13:47:00.000Z,5.1,31.6,10.5461,7.35,0.44,0.17,0.21,0.13,0.35,0.29,3.71,37.69,13.4,0.65,11.2,0.864,17.11
151,1,2020-01-22T08:25:00.000Z,3.9,31.7,10.3069,6.44,0.78,0.1,0.41,0.2,0.39,0.27,3.47,35.41,8.08,0.58,8.6,0.687,11.55
152,1,2020-02-25T08:30:00.000Z,3.4,31.7,11.1246,9.27,0.48,0.3,0.12,0.31,0.25,0.32,5.81,75.22,8.73,0.67,8.93,0.736,14.54
153,1,2020-03-12T08:04:00.000Z,4.9,31.9,10.2434,1.94,0.19,0.13,0.17,1.29,0.12,0.21,4.26,41.05,11.7,0.41,7.52,0.454,15.96
154,1,2020-04-15T09:20:00.000Z,7.9,31.5,9.6516,5.24,0.51,0.34,0.14,0.01,0.07,0.31,4.26,54.82,7.39,0.39,16.1,0.738,11.65
155,1,2020-05-21T07:02:00.000Z,10.7,31.3,9.0112,1.24,0.33,0.01,0.08,0.63,0.01,1.22,2.18,23.3,7.44,0.57,7.78,0.652,9.62
156,1,2020-06-16T07:32:00.000Z,15.6,31.3,8.1338,1.95,0.19,0.18,0.21,0.11,0.01,0.01,3.55,41.37,9.32,0.48,11.6,0.58,12.87
157,1,2020-07-23T08:35:00.000Z,22.3,31.2,7.2957,1.1,0.2,0.26,0.99,0.37,0.01,1.52,3.14,33.38,11.4,0.3,10.3,0.462,14.54
158,1,2020-08-23T11:15:00.000Z,20.8,31.5,8.0559,1.31,0.35,2.76,0.01,0.01,0.16,2.14,3.55,39.59,8.6,0.48,10.6,0.64,12.15
159,1,2020-09-09T08:17:00.000Z,20.9,31.5,7.1428,2.51,0.63,0.21,0.01,0.11,0.13,0.84,3.34,29.49,8.4,0.38,9.78,0.59,11.74
160,1,2020-10-22T10:22:00.000Z,14.9,31.9,8.0005,1.94,0.68,0.21,0.05,0.37,0.35,1.87,3.63,38.09,9.34,0.69,9.77,0.711,12.97
161,1,2020-11-09T09:41:00.000Z,12.3,31.9,8.5279,4.06,0.68,0.14,0.41,0.8,0.32,1.13,3.44,27.05,19.1,0.78,18.26,0.75,22.54
162,1,2020-12-12T08:21:00.000Z,8.5,32,9.181,5.06,0.68,0.31,1.82,1.12,0.49,1.27,3.59,30.67,14.1,0.77,18.2,0.994,17.69
163,1,2021-01-13T16:06:00.000Z,5.3,31.9,10.5278,5.18,0.36,0.06,0.31,0.2,0.44,0.33,4.36,34.56,7.76,0.755,9.44,0.777,12.12
164,1,2021-02-11T07:20:00.000Z,2.9,31.9,10.883,5.2,0.23,0.07,1.46,0.31,0.36,0.43,3.98,29.48,9.2,0.543,9.3,0.531,13.18
165,1,2021-03-17T08:18:00.000Z,2.9,31.9,11.019,1.72,0.47,0.34,0.01,0.4,0.17,0.28,2.81,28.26,8.31,0.428,8.87,0.417,11.12
166,1,2021-04-19T08:38:00.000Z,7.7,32.1,9.8946,7.21,1.44,0.35,0.3,0.31,0.27,1.97,11.17,90.53,14.7,0.625,23.3,0.902,25.87
167,1,2021-05-07T08:40:00.000Z,9.8,32,9.3735,1.41,0.32,0.13,0.13,0.67,0.16,2.71,3.64,32.16,11,0.692,10.5,0.583,14.64
168,1,2021-06-17T08:30:00.000Z,18,31.7,8.2259,1.25,0.28,0.21,0.14,0.43,0.13,0.1,3.85,32.05,11.2,0.215,18.3,0.259,15.05
169,1,2021-07-15T07:43:00.000Z,19.8,31.4,7.7898,1.42,0.46,0.87,0.01,0.12,0.14,2.43,3.46,41.51,9.3,0.552,8.97,0.584,12.76
170,1,2021-08-25T09:27:00.000Z,23.8,30.9,7.356,0.87,0.43,0.19,0.01,0.01,0.1,0.29,3.33,37.61,12,0.408,14.8,0.526,15.33
171,1,2021-09-20T11:45:00.000Z,18.7,31.4,8.2203,1.51,0.27,0.16,0.01,0.01,0.08,0.97,2.39,29.86,13.4,0.371,11.6,0.468,15.79
172,1,2021-10-15T15:07:00.000Z,17.6,31.4,8.3854,2.78,0.76,0.25,0.01,0.01,0.16,0.17,4,47.24,12.6,0.682,11.1,0.776,16.6
173,1,2021-11-17T14:56:00.000Z,11.6,31.7,8.7646,4.11,1.07,0.35,0.01,0.15,0.39,0.01,3.63,39.72,7.14,0.87,6.76,0.773,10.77
174,1,2021-12-08T12:12:00.000Z,7.5,31.8,9.2625,4.04,0.92,0.34,0.01,0.01,0.29,0.34,4.04,40.49,8.68,0.818,8.74,0.812,12.72
175,1,2022-01-25T07:35:00.000Z,4,32.31,10.18,4.51,0.71,0.3,2.86,0.87,0.69,0.57,5.05,42.27,11.1,0.85,10.1,1.07,16.15
176,1,2022-02-11T09:19:00.000Z,2.2,31.99,11.1,4.7,0.61,0.18,0.12,0.63,0.3,0.15,4.22,40.62,6.16,0.59,6.94,0.62,10.38
177,1,2022-03-18T08:30:00.000Z,5,32,10.79,3.11,0.36,0.25,0.08,0.45,0.19,0.38,4.66,41.03,8.19,0.34,9.95,0.49,12.85
