"STATION","NAME","DATE","AWND","WDF2","WSF2"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1984-01-28","5.1",,
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1984-01-29","4.0",,
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1984-01-30","3.0",,
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1984-01-31","7.7",,
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1984-02-01","4.9",,
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1984-02-02","3.3",,
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1984-02-03","6.0",,
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1984-02-04","2.9",,
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1984-02-05","4.4",,
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1984-02-06","6.7",,
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1984-02-07","6.7",,
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1984-02-08","7.8",,
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1984-02-09","5.9",,
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1984-02-10","4.1",,
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1984-02-11","4.1",,
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1984-02-12","3.4",,
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1984-02-13","2.0",,
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1984-02-14","3.7",,
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1984-02-15","3.8",,
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1984-02-16","7.3",,
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1984-02-17","4.9",,
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1984-02-18","4.2",,
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1984-02-19","3.6",,
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1984-02-20","6.4",,
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1984-02-21","6.2",,
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1984-02-22","5.6",,
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1984-02-23","4.8",,
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1984-02-24","7.2",,
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1984-02-25","3.5",,
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1984-02-26","8.6",,
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1984-02-27","4.7",,
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1984-02-28","9.2",,
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1984-02-29","9.4",,
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1984-03-01","9.2",,
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1984-03-02","7.3",,
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1984-03-03","6.1",,
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1984-03-04","4.9",,
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1984-03-05","4.2",,
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1984-03-06","4.6",,
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1984-03-07","6.2",,
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1984-03-08","5.6",,
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1984-03-09","7.7",,
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1984-03-10","4.6",,
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1984-03-11","9.2",,
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1984-03-12","6.7",,
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1984-03-13","7.6",,
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1984-03-14","7.4",,
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1984-03-15","5.0",,
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1984-03-16","2.9",,
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1984-03-17","5.9",,
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1984-03-18","7.2",,
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1984-03-19","6.3",,
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1984-03-20","5.7",,
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1984-03-21","5.2",,
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1984-03-22","4.8",,
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1984-03-23","6.6",,
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1984-03-24","5.9",,
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1984-03-25","3.9",,
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1984-03-26","3.8",,
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1984-03-27","4.1",,
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1984-03-28","5.7",,
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1984-03-29","14.0",,
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1984-03-30","7.1",,
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1984-03-31","4.8",,
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1984-04-01","3.6",,
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1984-04-02","3.4",,
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1984-04-03","3.8",,
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1984-04-04","3.4",,
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1984-04-05","8.0",,
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1984-04-06","3.6",,
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1984-04-07","4.7",,
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1984-04-08","5.5",,
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1984-04-09","5.8",,
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1984-04-10","4.8",,
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1984-04-11","3.1",,
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1984-04-12","3.1",,
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1984-04-13","2.7",,
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1984-04-14","2.4",,
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1984-04-15","7.5",,
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1984-04-16","3.3",,
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1984-04-17","4.0",,
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1984-04-18","2.5",,
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1984-04-19","3.4",,
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1984-04-20","3.3",,
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1984-04-21","8.5",,
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1984-04-22","5.1",,
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1984-04-23","4.2",,
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1984-04-24","5.1",,
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1984-04-25","4.6",,
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1984-04-26","4.8",,
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1984-04-27","2.8",,
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1984-04-28","2.3",,
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1984-04-29","2.4",,
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1984-04-30","6.0",,
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1984-05-01","7.3",,
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1984-05-02","6.8",,
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1984-05-03","4.9",,
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1984-05-04","5.5",,
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1984-05-05","6.6",,
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1984-05-06","4.6",,
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1984-05-07","4.7",,
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1984-05-08","4.6",,
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1984-05-09","7.1",,
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1984-05-10","6.7",,
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1984-05-11","6.5",,
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1984-05-12","7.0",,
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1984-05-13","5.7",,
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1984-05-14","5.6",,
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1984-05-15","5.0",,
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1984-05-16","5.5",,
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1984-05-17","5.5",,
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1984-05-18","5.8",,
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1984-05-19","4.9",,
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1984-05-20","4.9",,
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1984-05-21","4.9",,
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1984-05-22","5.6",,
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1984-05-23","7.7",,
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1984-05-24","6.3",,
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1984-05-25","5.9",,
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1984-05-26","7.7",,
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1984-05-27","4.7",,
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1984-05-28","4.6",,
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1984-05-29","6.5",,
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1984-05-30","5.2",,
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1984-05-31","4.3",,
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1984-06-01","5.9",,
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1984-06-02","7.3",,
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1984-06-03","4.6",,
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1984-06-04","5.0",,
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1984-06-05","4.6",,
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1984-06-06","3.4",,
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1984-06-07","3.9",,
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1984-06-08","4.8",,
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1984-06-09","5.3",,
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1984-06-10","4.3",,
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1984-06-11","5.7",,
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1984-06-12","6.0",,
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1984-06-13","6.4",,
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1984-06-14","5.0",,
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1984-06-15","6.6",,
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1984-06-16","5.5",,
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1984-06-17","6.0",,
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1984-06-18","5.4",,
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1984-06-19","5.4",,
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1984-06-20","5.0",,
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1984-06-21","5.5",,
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1984-06-22","5.5",,
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1984-06-23","6.0",,
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1984-06-24","7.3",,
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1984-06-25","5.9",,
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1984-06-26","5.1",,
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1984-06-27","5.4",,
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1984-06-28","6.0",,
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1984-06-29","3.9",,
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1984-06-30","3.4",,
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1984-07-01","3.2",,
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1984-07-02","4.0",,
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1984-07-03","4.5",,
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1984-07-04","6.1",,
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1984-07-05","7.2",,
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1984-07-06","7.8",,
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1984-07-07","7.2",,
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1984-07-08","5.0",,
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1984-07-09","4.4",,
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1984-07-10","4.2",,
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1984-07-11","5.5",,
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1984-07-12","6.3",,
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1984-07-13","5.5",,
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1984-07-14","5.3",,
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1984-07-15","5.9",,
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1984-07-16","6.8",,
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1984-07-17","5.4",,
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1984-07-18","4.6",,
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1984-07-19","5.5",,
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1984-07-20","5.8",,
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1984-07-21","5.2",,
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1984-07-22","4.3",,
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1984-07-23","6.2",,
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1984-07-24","6.7",,
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1984-07-25","4.9",,
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1984-07-26","4.2",,
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1984-07-27","5.1",,
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1984-07-28","3.7",,
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1984-07-29","3.6",,
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1984-07-30","4.0",,
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1984-07-31","4.6",,
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1984-08-01","5.1",,
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1984-08-02","3.6",,
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1984-08-03","3.1",,
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1984-08-04","3.4",,
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1984-08-05","3.1",,
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1984-08-06","3.3",,
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1984-08-07","3.8",,
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1984-08-08","4.2",,
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1984-08-09","3.5",,
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1984-08-10","3.1",,
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1984-08-11","3.2",,
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1984-08-12","3.8",,
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1984-08-13","3.4",,
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1984-08-14","3.5",,
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1984-08-15","4.0",,
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1984-08-16","3.5",,
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1984-08-17","4.6",,
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1984-08-18","4.2",,
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1984-08-19","2.9",,
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1984-08-20","4.4",,
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1984-08-21","3.6",,
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1984-08-22","5.1",,
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1984-08-23","5.8",,
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1984-08-24","4.3",,
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1984-08-25","4.1",,
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1984-08-26","3.9",,
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1984-08-27","4.6",,
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1984-08-28","5.3",,
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1984-08-29","5.3",,
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1984-08-30","5.1",,
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1984-08-31","3.6",,
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1984-09-01","5.5",,
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1984-09-02","4.4",,
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1984-09-03","2.9",,
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1984-09-04","3.0",,
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1984-09-05","4.0",,
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1984-09-06","4.7",,
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1984-09-07","2.7",,
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1984-09-08","4.6",,
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1984-09-09","5.5",,
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1984-09-10","4.6",,
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1984-09-11","5.1",,
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1984-09-12","5.3",,
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1984-09-13","4.2",,
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1984-09-14","5.2",,
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1984-09-15","5.7",,
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1984-09-16","5.0",,
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1984-09-17","4.0",,
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1984-09-18","3.6",,
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1984-09-19","4.3",,
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1984-09-20","6.2",,
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1984-09-21","4.6",,
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1984-09-22","3.0",,
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1984-09-23","5.3",,
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1984-09-24","3.4",,
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1984-09-25","3.1",,
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1984-09-26","6.5",,
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1984-09-27","4.3",,
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1984-09-28","2.7",,
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1984-09-29","3.2",,
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1984-09-30","4.1",,
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1984-10-01","6.5",,
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1984-10-02","8.1",,
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1984-10-03","6.4",,
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1984-10-04","6.4",,
